"DATE_AND_TIME";"DATE";"TIME";"GAME";"RESULT";"ATTENDENCE";"STADIUM";"SEASON";"WEEKDAY";"HOME_OR_AWAY";"TEAM";"HOME_TEAM";"AWAY_TEAM";"OPPONENT";"HOME_GOALS";"AWAY_GOALS";"GOAL_FOR";"GOAL_AGAINST";"GOAL_DIFF";"GAMES_PLAYED";"POINTS";"W";"D";"L";"CUM_GOAL_FOR";"CUM_GOAL_AGAINST";"CUM_GOAL_DIFF";"CUM_GAMES_PLAYED";"CUM_POINTS";"CUM_W";"CUM_D";"CUM_L";"CUM_POSITION";"LATEST_POSITION_PER_SEASON"
2001-04-16 15:00:00;2001-04-16;"15:00";"GIF Sundsvall - BK Häcken";"1 - 0";4021;"Norrporten Arena";2001;"måndag";"AWAY";"BK Häcken";"GIF Sundsvall";"BK Häcken";"GIF Sundsvall";1;0;0;1;-1;1;0;0;0;1;2;2;0;2;3;1;0;1;6;13
2001-04-17 19:00:00;2001-04-17;"19:00";"Helsingborgs IF - Djurgården";"1 - 0";12869;"Olympia, Helsingborg";2001;"tisdag";"HOME";"Helsingborgs IF";"Helsingborgs IF";"Djurgården";"Djurgården";1;0;1;0;1;1;3;1;0;0;2;2;0;2;3;1;0;1;7;5
2001-04-16 15:00:00;2001-04-16;"15:00";"GIF Sundsvall - BK Häcken";"1 - 0";4021;"Norrporten Arena";2001;"måndag";"HOME";"GIF Sundsvall";"GIF Sundsvall";"BK Häcken";"BK Häcken";1;0;1;0;1;1;3;1;0;0;1;1;0;2;3;1;0;1;8;11
2001-04-13 15:00:00;2001-04-13;"15:00";"Trelleborgs FF - IFK Norrköping";"0 - 1";2490;"A-plan";2001;"fredag";"AWAY";"IFK Norrköping";"Trelleborgs FF";"IFK Norrköping";"Trelleborgs FF";0;1;1;0;1;1;3;1;0;0;1;3;-2;2;3;1;0;1;9;12
2001-04-18 19:00:00;2001-04-18;"19:00";"Halmstads BK - IFK Göteborg";"0 - 0";5160;"Örjans Vall";2001;"onsdag";"HOME";"Halmstads BK";"Halmstads BK";"IFK Göteborg";"IFK Göteborg";0;0;0;0;0;1;1;0;1;0;1;2;-1;2;1;0;1;1;10;7
2001-04-21 16:00:00;2001-04-21;"16:00";"IFK Göteborg - Örebro SK";"3 - 1";7222;"Gamla Ullevi";2001;"lördag";"AWAY";"Örebro SK";"IFK Göteborg";"Örebro SK";"IFK Göteborg";3;1;1;3;-2;1;0;0;0;1;1;3;-2;2;1;0;1;1;11;8
2001-04-16 15:00:00;2001-04-16;"15:00";"AIK - Örebro SK";"0 - 0";15997;"Råsunda";2001;"måndag";"HOME";"AIK";"AIK";"Örebro SK";"Örebro SK";0;0;0;0;0;1;1;0;1;0;0;2;-2;2;1;0;1;1;12;3
2001-04-22 13:30:00;2001-04-22;"13:30";"Trelleborgs FF - Örgryte IS";"1 - 4";1887;"A-plan";2001;"söndag";"HOME";"Trelleborgs FF";"Trelleborgs FF";"Örgryte IS";"Örgryte IS";1;4;1;4;-3;1;0;0;0;1;1;5;-4;2;0;0;0;2;13;14
2001-04-21 16:00:00;2001-04-21;"16:00";"Djurgården - Malmö FF";"0 - 4";13250;"Stockholms Stadion 1";2001;"lördag";"HOME";"Djurgården";"Djurgården";"Malmö FF";"Malmö FF";0;4;0;4;-4;1;0;0;0;1;0;5;-5;2;0;0;0;2;14;2
2001-04-21 16:00:00;2001-04-21;"16:00";"Djurgården - Malmö FF";"0 - 4";13250;"Stockholms Stadion 1";2001;"lördag";"AWAY";"Malmö FF";"Djurgården";"Malmö FF";"Djurgården";0;4;4;0;4;1;3;1;0;0;8;0;8;3;9;3;0;0;1;9
2001-04-21 16:00:00;2001-04-21;"16:00";"IFK Göteborg - Örebro SK";"3 - 1";7222;"Gamla Ullevi";2001;"lördag";"HOME";"IFK Göteborg";"IFK Göteborg";"Örebro SK";"Örebro SK";3;1;3;1;2;1;3;1;0;0;5;2;3;3;7;2;1;0;2;4
2001-04-21 16:00:00;2001-04-21;"16:00";"Helsingborgs IF - GIF Sundsvall";"3 - 0";7477;"Olympia, Helsingborg";2001;"lördag";"HOME";"Helsingborgs IF";"Helsingborgs IF";"GIF Sundsvall";"GIF Sundsvall";3;0;3;0;3;1;3;1;0;0;5;2;3;3;6;2;0;1;3;5
2001-04-26 19:00:00;2001-04-26;"19:00";"Örebro SK - Örgryte IS";"1 - 1";3680;"Felaktig arena";2001;"torsdag";"AWAY";"Örgryte IS";"Örebro SK";"Örgryte IS";"Örebro SK";1;1;1;1;0;1;1;0;1;0;8;5;3;3;5;1;2;0;4;6
